type	study.phs_accession	sample.sample_id	file_id	file_name	file_type	file_size	md5sum	experimental_strategy_and_data_subtypes	entityId	file_description	file_url_in_cds	submission_version	checksum_value	checksum_algorithm	crdc_id	file_mapping_level	release_datetime	is_supplementary_file
file	phs002371	HTA11_999999078_2		11991-NM-0013R_S1_L005_R1_001.fastq.gz	FASTQ	1947225671	8606ac8e5f4abab795ba718a6f9ba06e	WXS; RNA-Seq	syn68381032									
file	phs002371	HTA11_999999078_2		11991-NM-0013R_S1_L005_R2_001.fastq.gz	FASTQ	1984260657	5c899cbc047386fda39d745c2aa5bad7	WXS; RNA-Seq	syn68381041									
file	phs002371	HTA11_999999078_1		11991-NM-0014_S1_L005_R1_001.fastq.gz	FASTQ	2443297480	9da57ad423bb7e98a18236ededa193dd	WXS; RNA-Seq	syn68381532									
file	phs002371	HTA11_999999078_1		11991-NM-0014_S1_L005_R2_001.fastq.gz	FASTQ	2486327866	30a6f7ce16a2f5a5b59ef789bc67fb77	WXS; RNA-Seq	syn68381536									
file	phs002371	HTA11_999999091_2		11991-NM-0015_S1_L005_R1_001.fastq.gz	FASTQ	2070827836	a8d55b5d2a0dcaf23f23ae4ecfe321a3	WXS; RNA-Seq	syn68381052									
file	phs002371	HTA11_999999091_2		11991-NM-0015_S1_L005_R2_001.fastq.gz	FASTQ	2097560480	bd15ef904a4eb2fbaaae905b72afd995	WXS; RNA-Seq	syn68381061									
file	phs002371	HTA11_999999091_1		11991-NM-0016_S1_L005_R1_001.fastq.gz	FASTQ	2957974511	93a3cb65f2698cd5b01c3c29544b2b45	WXS; RNA-Seq	syn68381548									
file	phs002371	HTA11_999999091_1		11991-NM-0016_S1_L005_R2_001.fastq.gz	FASTQ	3026351396	5cc7768ade4ff814802f757150b4e6ab	WXS; RNA-Seq	syn68381560									
file	phs002371	HTA11_999999094_2		11991-NM-0017_S1_L005_R1_001.fastq.gz	FASTQ	2614534315	f5aecf87219835733b9b407c290e59d3	WXS; RNA-Seq	syn68381072									
file	phs002371	HTA11_999999094_2		11991-NM-0017_S1_L005_R2_001.fastq.gz	FASTQ	2642408266	1557867d16432c330c2c9e6766223363	WXS; RNA-Seq	syn68381083									
file	phs002371	HTA11_999999094_1		11991-NM-0018_S1_L005_R1_001.fastq.gz	FASTQ	4106298699	a6388be3658b04f1fdbea7fb9e5eba66	WXS; RNA-Seq	syn68381579									
file	phs002371	HTA11_999999094_1		11991-NM-0018_S1_L005_R2_001.fastq.gz	FASTQ	4188354004	880c3850146a47094d64accd61613862	WXS; RNA-Seq	syn68381591									
file	phs002371	HTA11_999999096_2		11991-NM-0019_S1_L005_R1_001.fastq.gz	FASTQ	3090966748	3f426554871e5ff783573d45014a01ef	WXS; RNA-Seq	syn68381099									
file	phs002371	HTA11_999999096_2		11991-NM-0019_S1_L005_R2_001.fastq.gz	FASTQ	3132292760	2e77dde40660eb7e47f74b23b2858399	WXS; RNA-Seq	syn68381110									
file	phs002371	HTA11_999999096_1		11991-NM-0020_S1_L005_R1_001.fastq.gz	FASTQ	2820917922	e1fd621a344eec8afa9436090d5c5157	WXS; RNA-Seq	syn68381601									
file	phs002371	HTA11_999999096_1		11991-NM-0020_S1_L005_R2_001.fastq.gz	FASTQ	2870623842	5cae9ed21c504d3ca68455114cec4648	WXS; RNA-Seq	syn68381612									
file	phs002371	HTA11_999999099_2		11991-NM-0021_S1_L005_R1_001.fastq.gz	FASTQ	2020185934	4ab784bb50050c2cdaa37ebf027769b2	WXS; RNA-Seq	syn68381119									
file	phs002371	HTA11_999999099_2		11991-NM-0021_S1_L005_R2_001.fastq.gz	FASTQ	2052541521	ecf5d5d75f9c9e702e62548f7c2292c9	WXS; RNA-Seq	syn68381127									
file	phs002371	HTA11_999999099_1		11991-NM-0022_S1_L005_R1_001.fastq.gz	FASTQ	2204581172	ff6503e5352401b5cfb7eab5d1e2d2d5	WXS; RNA-Seq	syn68381623									
file	phs002371	HTA11_999999099_1		11991-NM-0022_S1_L005_R2_001.fastq.gz	FASTQ	2248173667	129dc596263ab551964c198fdc219375	WXS; RNA-Seq	syn68381629									
file	phs002371	HTA11_999999100_2		11991-NM-0023_S1_L005_R1_001.fastq.gz	FASTQ	2169095964	cf5f7606684ff3a6b76dc5726a027cbd	WXS; RNA-Seq	syn68381136									
file	phs002371	HTA11_999999100_2		11991-NM-0023_S1_L005_R2_001.fastq.gz	FASTQ	2199639998	6863d0bde38210dc1b71d4fa45a805e3	WXS; RNA-Seq	syn68381142									
file	phs002371	HTA11_999999100_1		11991-NM-0024_S1_L005_R1_001.fastq.gz	FASTQ	2178756404	fb24eafb055c212b7d2a5ff2f28ab7aa	WXS; RNA-Seq	syn68381634									
